pair,htf_timeframe,direction,entry_type,pivot_time,valid_time,gap_touch_time,entry_time,exit_time,duration_days,pivot_price,extreme_price,near_price,gap_pips,wick_diff_pips,wick_diff_pct,total_refinements,priority_refinement_tf,entry_price,sl_price,tp_price,exit_price,final_rr,sl_distance_pips,tp_distance_pips,exit_type,pnl_pips,pnl_r,win_loss,mfe_pips,mae_pips,lots,entry_spread_pips,exit_spread_pips,commission_usd
USDJPY,W,bullish,direct_touch,2010-02-08,2010-02-15,2010-02-25,2010-02-25 13:00:00,2010-03-04 06:00:00,6.708333333333333,89.5055,88.5545,89.137,9510.0,5824.99999999996,61.251314405888124,1,D,89.166,88.30566666666667,90.45649999999999,88.30566666666667,1.5,86.03333333333296,129.04999999999944,sl,-88.246774774818,-1.0257858362047856,loss,34.00000000000034,102.59999999999962,0.01162340178225499,1.4919062749885117,0.7215351664969556,0.05811700891127495
NZDJPY,W,bullish,direct_touch,2010-02-08,2010-02-15,2010-02-25,2010-02-25 16:00:00,2010-03-05 14:00:00,7.916666666666667,61.605,60.4845,60.789,11205.0,3045.0000000000446,27.175368139223956,4,D,60.928,59.72966666666667,62.7255,62.7255,1.5,119.83333333333306,179.74999999999994,tp,177.8159146957215,1.4838184814663857,win,182.00000000000003,31.19999999999976,0.008344923504867891,0.613305559452457,1.3207797448259924,0.04172461752433945
GBPCHF,W,bullish,direct_touch,2010-01-11,2010-01-18,2010-02-26,2010-02-26 14:00:00,2010-03-01 09:00:00,2.7916666666666665,1.64277,1.63153,1.63726,112.4,57.300000000000125,50.97864768683286,6,H4,1.63578,1.6236266666666668,1.65401,1.6236266666666668,1.5,121.53333333333238,182.29999999999967,sl,-124.18453285206742,-1.0259286850142764,loss,41.59999999999941,122.10000000000053,0.8228195282501437,0.930961019478695,1.7202384992564719,4.114097641250718
EURGBP,W,bearish,direct_touch,2010-01-11,2010-01-18,2010-03-01,2010-03-01 10:00:00,2010-03-01 11:00:00,0.041666666666666664,0.89788,0.90284,0.90264,49.6,1.9999999999997797,4.032258064515685,2,wick_diff,0.90264,0.9091199999999999,0.89292,0.9091199999999999,1.5,64.7999999999993,97.1999999999995,sl,-68.7149694192013,-1.0681322441234884,loss,18.200000000000436,123.60000000000036,1.5432098765432265,1.543558632062878,2.3714107871383954,7.7160493827161325
EURAUD,W,bullish,direct_touch,2010-02-22,2010-03-01,2010-03-01,2010-03-01 15:00:00,2010-03-05 14:00:00,3.9583333333333335,1.51318,1.5044,1.5058,87.8,14.000000000000679,15.945330296128335,2,wick_diff,1.5058,1.4950266666666667,1.52196,1.4950266666666667,1.5,107.73333333333301,161.5999999999995,sl,-110.04502562823149,-1.026098628974924,loss,145.10000000000022,109.6000000000008,0.928217821782181,1.7199135372794738,0.59177875761847,4.641089108910905
EURNZD,W,bullish,direct_touch,2010-02-22,2010-03-01,2010-03-01,2010-03-01 15:00:00,2010-03-03 09:00:00,1.75,1.94565,1.92619,1.93454,194.60000000000002,83.49999999999858,42.90853031860152,5,D,1.93563,1.9159766666666664,1.9651100000000001,1.9651100000000001,1.5,196.5333333333352,294.8000000000017,tp,292.3413441413447,1.4849457809091346,win,322.99999999999994,59.59999999999965,0.5088195386702801,0.4786898354572122,1.9799660231993181,2.5440976933514
AUDCHF,W,bearish,direct_touch,2010-02-22,2010-03-01,2010-03-01,2010-03-01 15:00:00,2010-03-09 15:00:00,8.0,0.96832,0.97484,0.97311,65.2,17.300000000000093,26.533742331288483,2,H4,0.97402,0.9821666666666666,0.9618,0.9821666666666666,1.5,81.46666666666636,122.20000000000007,sl,-85.33364031669599,-1.0536044228727044,loss,117.19999999999952,92.60000000000045,1.227495908346977,1.7265573607596973,2.140416289270566,6.137479541734885
NZDCHF,W,bearish,direct_touch,2010-02-22,2010-03-01,2010-03-01,2010-03-01 15:00:00,2010-03-03 08:00:00,1.7083333333333333,0.75312,0.76138,0.75784,82.6,35.39999999999988,42.857142857142705,4,D,0.75657,0.7643766666666666,0.74486,0.74486,1.5,78.06666666666628,117.09999999999998,tp,113.55606315950116,1.4481989303095868,win,117.59999999999992,16.1,1.2809564474807922,1.2637902023671241,2.280146638131315,6.4047822374039605
AUDNZD,W,bearish,direct_touch,2010-02-22,2010-03-01,2010-03-01,2010-03-02 03:00:00,2010-03-03 07:00:00,1.1666666666666667,1.2852,1.29314,1.28789,79.39999999999999,52.49999999999977,66.12090680100728,5,3D,1.2916,1.3011600000000003,1.2772599999999998,1.3011600000000003,1.5,95.60000000000234,143.40000000000242,sl,-97.61625424464125,-1.0263206510945488,loss,64.80000000000041,104.59999999999913,1.0460251046024849,0.911230453705123,1.105023790932385,5.230125523012425
NZDCAD,W,bullish,direct_touch,2010-02-22,2010-03-01,2010-03-02,2010-03-02 07:00:00,2010-03-02 15:00:00,0.3333333333333333,0.72787,0.7246,0.72645,32.699999999999996,18.500000000000185,56.57492354740117,4,H4,0.72468,0.71868,0.73114,0.71868,1.0766666666666693,60.00000000000005,64.60000000000021,sl,-61.21020606358329,-1.028503434393054,loss,8.700000000000374,68.30000000000003,1.6666666666666654,0.5467069905782616,0.663499073005078,8.333333333333327
GBPJPY,W,bullish,direct_touch,2010-03-01,2010-03-08,2010-03-09,2010-03-09 09:00:00,2010-03-12 13:00:00,3.1666666666666665,134.678,132.0315,134.665,26465.0,26334.999999999978,99.50878518798405,8,H4,134.144,131.76685,137.3245,137.3245,1.337946700881305,237.71500000000003,318.0499999999995,tp,316.17792369964945,1.3300503699793846,win,367.40000000000066,21.999999999999886,0.0042067181288517755,0.8086470245654427,1.0634292757842905,0.021033590644258877
GBPNZD,W,bullish,direct_touch,2010-03-01,2010-03-08,2010-03-08,2010-03-09 16:00:00,2010-04-30 13:00:00,51.875,2.16848,2.12966,2.17015,388.2,404.90000000000134,104.30190623390041,10,D,2.13634,2.0890333333333335,2.2073,2.0890333333333335,1.5,473.06666666666604,709.5999999999991,sl,-475.9185974913471,-1.0070855358469863,loss,434.39999999999924,474.1000000000017,0.21138669673055271,1.3515550060262917,1.5003758186525276,1.0569334836527635
EURAUD,W,bullish,direct_touch,2010-03-08,2010-03-15,2010-03-15,2010-03-16 08:00:00,2010-03-18 21:00:00,2.5416666666666665,1.50073,1.48079,1.49464,199.4,138.49999999999918,69.45837512537571,8,H4,1.49422,1.476586666666667,1.52067,1.476586666666667,1.5,176.33333333333167,264.49999999999864,sl,-177.83650361106183,-1.011360133900171,loss,114.89999999999999,178.60000000000207,0.5671077504725951,0.5301556595975071,0.9730146181322541,2.8355387523629756
EURCAD,W,bullish,direct_touch,2010-03-08,2010-03-15,2010-03-15,2010-03-16 08:00:00,2010-03-19 11:00:00,3.125,1.40175,1.39024,1.39182,115.1,15.800000000001369,13.727193744571128,1,wick_diff,1.39182,1.3775266666666668,1.41326,1.3775266666666668,1.5,142.93333333333268,214.39999999999904,sl,-146.3197240124292,-1.027190233295918,loss,77.59999999999988,221.4000000000005,0.699626865671645,1.7969218935584994,1.589468785538453,3.498134328358225
CADCHF,W,bearish,direct_touch,2010-03-08,2010-03-15,2010-03-17,2010-03-19 12:00:00,2010-03-26 14:00:00,7.083333333333333,1.04377,1.05191,1.05101,81.39999999999999,8.999999999999009,11.056511056509839,0,wick_diff,1.05101,1.0612633333333332,1.03563,1.03563,1.5,102.53333333333225,153.79999999999947,tp,150.45403106985987,1.4624905500961778,win,163.50000000000085,26.100000000000012,0.9752925877763431,0.8551762462780619,2.4907926838623333,4.876462938881716
GBPJPY,W,bearish,direct_touch,2010-03-15,2010-03-22,2010-03-25,2010-03-28 18:00:00,2010-03-30 06:00:00,1.5,137.865,139.3665,138.0855,15015.0,12810.000000000058,85.3146853146857,4,H4,138.19,139.51665,136.36350000000002,139.51665,1.3767760901518717,132.66500000000008,182.64999999999816,sl,-136.34236419650563,-1.0277568627483176,loss,49.39999999999998,137.2000000000014,0.007537783137979116,1.8622571441005134,1.815107052404727,0.03768891568989558
EURAUD,W,bullish,direct_touch,2010-03-22,2010-03-29,2010-03-29,2010-03-30 13:00:00,2010-04-08 01:00:00,8.5,1.47851,1.46014,1.47193,183.70000000000002,117.89999999999966,64.18072945019034,7,D,1.46154,1.43798,1.49688,1.43798,1.5,235.60000000000025,353.39999999999924,sl,-236.9211046834052,-1.0077296463641976,loss,162.9999999999998,252.09999999999954,0.4244482173174868,0.6929420856505923,0.6281625977528889,2.122241086587434
GBPJPY,W,bearish,direct_touch,2010-02-22,2010-03-01,2010-03-31,2010-04-01 07:00:00,2010-04-04 21:00:00,3.5833333333333335,141.578,143.6295,142.1955,20515.0,14339.999999999975,69.90007311723117,4,H4,142.716,144.84233333333336,139.5265,144.84233333333336,1.5,212.63333333333492,318.95000000000095,sl,-216.42873373521354,-1.0178730227396706,loss,74.60000000000093,219.89999999999839,0.004702931493964536,2.47973617477505,1.315664227104624,0.023514657469822682
GBPUSD,W,bearish,direct_touch,2010-03-15,2010-03-22,2010-03-31,2010-04-01 13:00:00,2010-04-11 20:00:00,10.291666666666666,1.51768,1.5382,1.52186,205.2,163.4000000000002,79.62962962962973,7,H4,1.52548,1.54436,1.4971599999999998,1.54436,1.5,188.80000000000007,283.20000000000124,sl,-191.72190571398627,-1.0181245006037405,loss,125.19999999999864,204.20000000000104,0.5296610169491524,2.2300620032001324,0.6918437107857438,2.6483050847457617
EURCAD,W,bullish,direct_touch,2010-03-22,2010-03-29,2010-03-29,2010-04-05 06:00:00,2010-04-07 05:00:00,1.9583333333333333,1.37527,1.35724,1.36284,180.3,56.0000000000005,31.05934553521935,6,3D,1.35911,1.3363166666666668,1.3933,1.3363166666666668,1.5,227.9333333333322,341.8999999999994,sl,-230.16372784153248,-1.0119789171169946,loss,16.899999999999693,237.49999999999937,0.438724773325536,0.44554901483936193,1.7848454933602098,2.19362386662768
EURNZD,W,bullish,direct_touch,2010-03-29,2010-04-05,2010-04-05,2010-04-09 08:00:00,2010-04-26 11:00:00,17.125,1.90961,1.88042,1.88637,291.90000000000003,59.50000000000122,20.383693045563966,8,3D,1.88147,1.8432499999999998,1.9388,1.8432499999999998,1.5,382.2000000000014,573.300000000001,sl,-384.8035909977776,-1.0081203322809422,loss,397.7000000000008,400.59999999999985,0.26164311878597496,1.806204170967264,0.79738682681044,1.3082155939298747
NZDUSD,W,bearish,direct_touch,2010-03-22,2010-03-29,2010-03-29,2010-04-09 15:00:00,2010-04-30 09:00:00,20.75,0.70705,0.71787,0.7102,108.2,76.69999999999955,70.88724584103471,9,D,0.71572,0.7287133333333334,0.6962299999999999,0.7287133333333334,1.5,129.9333333333341,194.90000000000117,sl,-133.13066596276735,-1.028455612848383,loss,103.60000000000035,133.2,0.769625448948174,1.503942558256473,1.6933900711765855,3.84812724474087
EURNZD,W,bullish,direct_touch,2010-04-12,2010-04-19,2010-04-19,2010-04-19 21:00:00,2010-04-22 14:00:00,2.7083333333333335,1.90008,1.87599,1.89149,240.9,154.99999999999847,64.34205064341987,4,H4,1.89261,1.87157,1.92417,1.87157,1.5,210.39999999999947,315.6000000000003,sl,-214.37137391720816,-1.0212517771730452,loss,123.50000000000082,220.6999999999981,0.47528517110266283,1.651786796176629,2.3195871210313026,2.376425855513314
EURAUD,W,bullish,direct_touch,2010-04-12,2010-04-19,2010-04-20,2010-04-20 06:00:00,2010-04-22 21:00:00,2.625,1.45558,1.43489,1.44986,206.9,149.69999999999928,72.35379410343126,9,D,1.45034,1.432821,1.4762700000000002,1.432821,1.4801073120611985,175.19000000000062,259.3000000000023,sl,-177.77987311066389,-1.017637268740586,loss,26.100000000000012,181.29999999999978,0.5708088361207811,0.5094116204479568,2.080461490214519,2.8540441806039056
NZDCAD,W,bullish,direct_touch,2010-04-05,2010-04-12,2010-04-13,2010-04-21 00:00:00,2010-04-28 18:00:00,7.75,0.71306,0.69795,0.71192,151.1,139.7000000000004,92.45532759761772,10,D,0.70769,0.6940366666666667,0.72817,0.72817,1.5,136.53333333333293,204.79999999999941,tp,202.69640515762964,1.4809307018381122,win,206.69999999999965,8.100000000000884,0.7324218750000021,1.500990279246186,0.6026045631236258,3.6621093750000107
CADCHF,W,bearish,direct_touch,2010-04-12,2010-04-19,2010-04-20,2010-04-21 00:00:00,2010-05-18 07:00:00,27.291666666666668,1.05103,1.07336,1.06152,223.29999999999998,118.40000000000073,53.02283922973611,11,3D,1.07246,1.1016333333333332,1.0287,1.1016333333333332,1.5,291.7333333333327,437.6000000000002,sl,-295.5711959493201,-1.01486927313524,loss,358.6,308.6000000000011,0.34277879341864786,1.4251140105724063,2.41274860541551,1.7138939670932394
NZDCHF,W,bearish,direct_touch,2010-04-12,2010-04-19,2010-04-19,2010-04-21 11:00:00,2010-04-26 01:00:00,4.583333333333333,0.7573,0.76662,0.76144,93.2,51.79999999999963,55.57939914163049,7,H4,0.7624,0.7720133333333333,0.74798,0.7720133333333333,1.5,96.13333333333362,144.19999999999987,sl,-97.92011827972291,-1.0237876381385846,loss,52.200000000000024,97.70000000000056,1.0402219140083186,1.324344954729051,0.46243999166024646,5.201109570041593
