pair,htf_timeframe,direction,entry_type,pivot_time,valid_time,gap_touch_time,entry_time,exit_time,duration_days,pivot_price,extreme_price,near_price,gap_pips,wick_diff_pips,wick_diff_pct,total_refinements,priority_refinement_tf,entry_price,sl_price,tp_price,exit_price,final_rr,sl_distance_pips,tp_distance_pips,exit_type,pnl_pips,pnl_r,win_loss,mfe_pips,mae_pips,lots,entry_spread_pips,exit_spread_pips,commission_usd
EURGBP,3D,bearish,direct_touch,2010-01-27,2010-02-01,2010-02-01 08:00:00,2010-02-08 07:00:00,2010-02-25 18:00:00,17.458333333333332,0.87166,0.87946,0.8732,77.99999999999999,62.60000000000043,80.25641025641082,8,D,0.8786,0.8884266666666668,0.86386,0.8884266666666668,1.5,98.2666666666676,147.40000000000086,sl,-101.54644320394034,-1.0384644830794374,loss,127.80000000000013,102.7,1.0176390773405601,1.3047938375457622,1.97498269972757,5.0881953867028
GBPAUD,3D,bullish,direct_touch,2010-02-04,2010-02-09,2010-02-09 04:00:00,2010-02-09 09:00:00,2010-02-11 00:00:00,1.625,1.8001,1.78831,1.79148,117.89999999999999,31.69999999999895,26.887192536046605,4,D,1.78907,1.7738566666666666,1.81189,1.7738566666666666,1.5,152.133333333333,228.2000000000006,sl,-155.32245343995888,-1.0242492557403102,loss,93.10000000000151,252.2000000000002,0.65731814198072,1.4863186083409998,1.702801498285055,3.2865907099036002
AUDCHF,3D,bearish,direct_touch,2010-02-04,2010-02-09,2010-02-09 20:00:00,2010-02-11 00:00:00,2010-02-11 15:00:00,0.625,0.93545,0.94421,0.93818,87.6,60.2999999999998,68.83561643835593,2,D,0.94258,0.9531733333333333,0.92669,0.9531733333333333,1.5,105.93333333333344,158.89999999999958,sl,-108.31611218306224,-1.0272131420679245,loss,75.9999999999994,110.79999999999978,0.9439899307740708,1.4130174249040965,0.9697614248250654,4.719949653870354
EURNZD,3D,bullish,direct_touch,2010-02-04,2010-02-09,2010-02-10 18:00:00,2010-02-11 14:00:00,2010-02-17 16:00:00,6.083333333333333,1.97747,1.95674,1.97705,207.29999999999998,203.1000000000005,97.97395079594816,5,D,1.95948,1.9336666666666669,1.9982,1.9336666666666669,1.5,258.1333333333324,387.1999999999986,sl,-260.04661538103323,-1.009348974874874,loss,73.49999999999967,274.8000000000017,0.3873966942148774,1.2210642001720873,0.6922178475282194,1.936983471074387
AUDUSD,3D,bearish,direct_touch,2010-02-04,2010-02-09,2010-02-11 00:00:00,2010-02-11 19:00:00,2010-02-23 07:00:00,11.5,0.88294,0.89272,0.88294,97.8,97.80000000000011,100.00000000000011,5,D,0.8919,0.9043933333333334,0.8731599999999999,0.9043933333333334,1.5,124.93333333333355,187.4000000000009,sl,-128.21239611894296,-1.03024863489015,loss,134.19999999999987,148.89999999999958,0.8004268943436486,1.05764507727834,2.2214177083311633,4.002134471718243
AUDNZD,3D,bearish,direct_touch,2010-01-27,2010-02-01,2010-02-11 00:00:00,2010-02-11 21:00:00,2010-02-19 13:00:00,7.666666666666667,1.26859,1.27646,1.27352,78.7,29.399999999999427,37.35705209656852,2,H4,1.27639,1.2868366666666664,1.26072,1.2868366666666664,1.5,104.46666666666492,156.6999999999985,sl,-107.15415429211505,-1.0305120066252411,loss,79.499999999999,107.70000000000168,0.9572431397575144,1.772932384577324,0.91455524087239,4.786215698787572
EURCHF,3D,bullish,direct_touch,2010-02-09,2010-02-12,2010-02-12 00:00:00,2010-02-12 08:00:00,2010-03-15 09:00:00,31.041666666666668,1.46504,1.45594,1.46455,91.0,86.10000000000007,94.61538461538468,2,D,1.46455,1.45503,1.47414,1.45503,1.0073529411764721,95.19999999999972,95.89999999999986,sl,-98.3194378253449,-1.03801930488808,loss,57.300000000000125,106.90000000000087,1.0504201680672298,1.2738967690490548,1.8455410562966523,5.2521008403361495
EURUSD,3D,bullish,direct_touch,2010-02-09,2010-02-12,2010-02-12 07:00:00,2010-02-12 09:00:00,2010-02-16 15:00:00,4.25,1.36489,1.35858,1.35952,63.099999999999994,9.40000000000163,14.896988906500205,4,3D,1.35952,1.3517333333333335,1.3712,1.3712,1.5,77.86666666666608,116.79999999999912,tp,113.41136463626444,1.450060333513681,win,121.19999999999908,63.40000000000012,1.2842465753424754,1.8535426532396468,1.535092710494926,6.421232876712377
EURJPY,3D,bullish,direct_touch,2010-02-09,2010-02-12,2010-02-12 10:00:00,2010-02-12 10:00:00,2010-02-16 08:00:00,3.9166666666666665,121.824,120.7,121.653,112.4,95.3000000000003,84.78647686832765,4,D,121.653,120.58760000000001,122.948,122.948,1.2155059132720025,106.53999999999968,129.49999999999875,tp,126.57768880472275,1.1880297428639304,win,132.59999999999934,26.500000000000057,0.009386146048432542,1.3180717262659603,1.6042394690104986,0.04693073024216271
CHFJPY,3D,bullish,direct_touch,2010-02-09,2010-02-12,2010-02-12 10:00:00,2010-02-12 10:00:00,2010-02-16 15:00:00,4.208333333333333,83.1495,82.337,83.0305,81.25,69.35000000000002,85.35384615384618,3,H4,82.866,82.13533333333334,83.962,83.962,1.5,73.06666666666644,109.60000000000036,tp,105.89930291920666,1.4492833428723586,win,148.60000000000042,3.1999999999996476,0.013686131386861356,2.424688989564526,1.276008091228837,0.06843065693430678
NZDCAD,3D,bullish,direct_touch,2010-02-12,2010-02-17,2010-02-18 01:00:00,2010-02-18 21:00:00,2010-02-19 16:00:00,0.7916666666666666,0.73359,0.7288,0.73289,47.9,40.900000000000375,85.38622129436405,6,H4,0.73081,0.72481,0.7383799999999999,0.72481,1.2616666666666598,60.00000000000005,75.69999999999965,sl,-64.28026293466615,-1.0796710489111017,loss,46.59999999999997,62.099999999999376,1.6666666666666654,2.275525026729229,2.004737907936753,8.333333333333327
EURGBP,3D,bearish,direct_touch,2010-02-09,2010-02-12,2010-02-19 08:00:00,2010-02-23 09:00:00,2010-02-26 10:00:00,3.0416666666666665,0.87577,0.88416,0.8799,83.89999999999999,42.599999999999305,50.77473182359869,2,H4,0.88274,0.8929799999999999,0.86738,0.8929799999999999,1.5,102.39999999999915,153.59999999999928,sl,-106.21131837960317,-1.0421027185508207,loss,76.29999999999914,107.40000000000083,0.976562500000008,1.7162768783989744,2.095041501205849,4.88281250000004
GBPCHF,3D,bullish,direct_touch,2010-01-11,2010-01-14,2010-02-25 15:00:00,2010-02-26 09:00:00,2010-02-28 21:00:00,2.5,1.65224,1.64023,1.64917,120.1,89.39999999999948,74.43796835969981,4,H4,1.64228,1.6276333333333333,1.66425,1.6276333333333333,1.5,146.46666666666695,219.70000000000044,sl,-151.32786156553334,-1.0366035154679087,loss,83.40000000000013,163.69999999999996,0.6827492034592613,2.4336544510411,2.4275404478239584,3.4137460172963063
EURGBP,3D,bearish,direct_touch,2010-01-11,2010-01-14,2010-03-01 00:00:00,2010-03-01 10:00:00,2010-03-01 11:00:00,0.041666666666666664,0.89788,0.90284,0.90264,49.599999999999994,1.9999999999997797,4.032258064515685,2,wick_diff,0.90264,0.9091199999999999,0.89292,0.9091199999999999,1.5,64.7999999999993,97.1999999999995,sl,-68.66717586202387,-1.067394689228775,loss,18.200000000000436,123.60000000000036,1.5432098765432265,1.7116987470229206,2.1554771150016756,7.7160493827161325
EURCAD,3D,bullish,direct_touch,2010-02-22,2010-02-25,2010-03-01 15:00:00,2010-03-01 15:00:00,2010-03-02 09:00:00,0.75,1.41612,1.41011,1.4115,60.099999999999994,13.900000000000023,23.12811980033282,1,H1,1.41012,1.4021133333333333,1.4221300000000001,1.4021133333333333,1.5,80.06666666666717,120.10000000000076,sl,-84.59096154949552,-1.0627513932076809,loss,83.19999999999882,112.79999999999956,1.2489592006661037,2.401646283388654,2.1226485994412427,6.244796003330518
AUDCHF,3D,bearish,direct_touch,2010-02-22,2010-02-25,2010-03-01 12:00:00,2010-03-01 15:00:00,2010-03-09 15:00:00,8.0,0.96832,0.97484,0.97311,65.19999999999999,17.300000000000093,26.533742331288483,2,H4,0.97402,0.9821666666666666,0.9618,0.9821666666666666,1.5,81.46666666666636,122.20000000000007,sl,-84.69785528356421,-1.0458001876051293,loss,117.19999999999952,92.60000000000045,1.227495908346977,0.7906680549360853,2.440520561961273,6.137479541734885
CADCHF,3D,bearish,direct_touch,2010-02-22,2010-02-25,2010-03-01 15:00:00,2010-03-01 16:00:00,2010-03-02 09:00:00,0.7083333333333334,1.03464,1.03935,1.03768,47.099999999999994,16.700000000000603,35.4564755838654,1,H1,1.03916,1.0453133333333335,1.02993,1.0453133333333335,1.5,61.53333333333455,92.30000000000071,sl,-64.73161426708617,-1.060102073679603,loss,47.80000000000006,71.39999999999924,1.6251354279522974,1.9733381302123316,1.2249428035387555,8.125677139761487
AUDNZD,3D,bearish,direct_touch,2010-02-25,2010-03-02,2010-03-02 00:00:00,2010-03-02 03:00:00,2010-03-02 15:00:00,0.5,1.28856,1.29314,1.2916,45.8,15.399999999998748,33.624454148468885,2,H4,1.29274,1.29874,1.28398,1.29874,1.4600000000000155,60.00000000000005,87.600000000001,sl,-61.883069968931004,-1.0397178328155157,loss,76.19999999999959,69.39999999999947,1.6666666666666654,0.9947900156741443,0.8882799532564105,8.333333333333327
EURUSD,3D,bullish,direct_touch,2010-02-25,2010-03-02,2010-03-02 00:00:00,2010-03-02 09:00:00,2010-03-03 00:00:00,0.625,1.35398,1.34522,1.34972,87.6,44.99999999999948,51.36986301369804,1,H1,1.34736,1.3371066666666664,1.36274,1.36274,1.5,102.53333333333447,153.80000000000172,tp,150.8555055107763,1.466406100560221,win,180.00000000000014,38.999999999997925,0.9752925877763221,1.794739749120507,1.1497547401029635,4.876462938881611
EURNZD,3D,bearish,direct_touch,2010-02-25,2010-03-02,2010-03-02 18:00:00,2010-03-03 09:00:00,2010-03-04 07:00:00,0.9166666666666666,1.95276,1.96774,1.96745,149.79999999999998,2.900000000001235,1.935914552737807,1,wick_diff,1.96745,1.9872299999999998,1.93778,1.9872299999999998,1.5,197.79999999999907,296.6999999999986,sl,-199.8943029798017,-1.0131157885733197,loss,39.39999999999832,197.8000000000013,0.5055611729019235,1.4209043237126937,0.6733986560904391,2.5278058645096175
AUDUSD,3D,bearish,direct_touch,2010-03-02,2010-03-05,2010-03-05 00:00:00,2010-03-05 10:00:00,2010-03-07 23:00:00,2.5416666666666665,0.90096,0.90854,0.90158,75.8,69.59999999999965,91.82058047493359,6,H4,0.9036,0.9104133333333333,0.89338,0.9104133333333333,1.5,68.13333333333338,102.20000000000006,sl,-70.73820795439944,-1.0455705668453923,loss,13.999999999999568,68.79999999999997,1.4677103718199598,1.168533286678618,1.4363413343874694,7.338551859099799
AUDCHF,3D,bearish,direct_touch,2010-03-02,2010-03-05,2010-03-05 10:00:00,2010-03-05 13:00:00,2010-03-09 15:00:00,4.083333333333333,0.97243,0.97771,0.97595,52.8,17.599999999999838,33.33333333333302,1,H1,0.97597,0.98197,0.9671500000000001,0.98197,1.4699999999999884,60.00000000000005,88.19999999999939,sl,-63.440910743786105,-1.0656818457297674,loss,35.69999999999962,73.10000000000038,1.6666666666666654,2.0066952143707035,1.4342155294158376,8.333333333333327
GBPAUD,3D,bullish,direct_touch,2010-03-02,2010-03-05,2010-03-05 13:00:00,2010-03-08 15:00:00,2010-03-10 01:00:00,1.4166666666666667,1.66376,1.64978,1.65442,139.79999999999998,46.39999999999977,33.1902718168811,2,H1,1.65292,1.6363733333333332,1.67774,1.6363733333333332,1.5,165.4666666666671,248.20000000000064,sl,-168.05645182543125,-1.0186731576879382,loss,72.20000000000005,170.79999999999984,0.6043513295729235,1.4401392296523314,1.1496459291124574,3.0217566478646174
EURNZD,3D,bullish,direct_touch,2010-03-02,2010-03-05,2010-03-09 15:00:00,2010-03-10 02:00:00,2010-03-10 21:00:00,0.7916666666666666,1.938,1.92967,1.93599,83.3,63.20000000000103,75.87034813925693,1,H1,1.93002,1.9191466666666668,1.94633,1.94633,1.5,108.7333333333329,163.09999999999823,tp,159.94583774657343,1.4663933575711898,win,180.39999999999833,97.30000000000015,0.9196811771919104,1.8710025793516216,1.2831596740723596,4.5984058859595525
EURGBP,3D,bearish,direct_touch,2010-03-02,2010-03-05,2010-03-05 07:00:00,2010-03-10 07:00:00,2010-03-18 07:00:00,8.0,0.90462,0.915,0.91024,103.8,47.59999999999986,45.85741811175324,1,D,0.90998,0.9204733333333334,0.8942399999999999,0.8942399999999999,1.5,104.93333333333354,157.40000000000086,tp,154.36971688791988,1.4663568953740749,win,170.00000000000014,34.19999999999978,0.9529860228716627,1.5186500195094734,1.511633092570947,4.764930114358314
EURJPY,3D,bearish,direct_touch,2010-02-22,2010-02-25,2010-03-12 13:00:00,2010-03-12 14:00:00,2010-03-12 17:00:00,0.125,124.76,125.2475,124.8425,48.75,40.500000000000114,83.07692307692332,2,H4,125.168,125.768,124.27250000000001,124.27250000000001,1.4925000000000115,59.99999999999943,89.54999999999984,tp,86.54253769295082,1.4422922948825274,win,96.30000000000081,4.199999999998738,0.016666666666666823,0.6096901653169736,2.3977721417318403,0.08333333333333412
AUDCHF,3D,bullish,direct_touch,2010-03-05,2010-03-10,2010-03-12 16:00:00,2010-03-12 21:00:00,2010-03-18 13:00:00,5.666666666666667,0.96962,0.9623,0.96782,73.2,55.19999999999969,75.40983606557336,2,H1,0.96803,0.9615680000000001,0.97694,0.97694,1.3788300835655032,64.61999999999857,89.10000000000085,tp,84.62413847333372,1.3018282029299844,win,89.30000000000103,39.49999999999898,1.5475085112968465,2.399762632712256,2.076098893955461,7.737542556484232
