pair,htf_timeframe,direction,entry_type,pivot_time,valid_time,gap_touch_time,entry_time,exit_time,duration_days,pivot_price,extreme_price,near_price,gap_pips,wick_diff_pips,wick_diff_pct,total_refinements,priority_refinement_tf,entry_price,sl_price,tp_price,exit_price,final_rr,sl_distance_pips,tp_distance_pips,exit_type,pnl_pips,pnl_r,win_loss,mfe_pips,mae_pips,lots
GBPUSD,W,bullish,direct_touch,2010-01-11,2010-01-18,2010-01-29,2010-02-01 08:00:00,2010-02-05 07:00:00,3.9583333333333335,1.607,1.58972,1.60482,172.8,150.99999999999892,87.38425925925864,9,D,1.59163,1.5698633333333336,1.62428,1.5698633333333336,1.5,217.6666666666649,326.49999999999847,sl,-217.6666666666649,-1.0,loss,153.89999999999793,248.90000000000077,0.4594180704441079
EURNZD,W,bearish,direct_touch,2010-01-25,2010-02-01,2010-02-04,2010-02-04 08:00:00,2010-02-11 00:00:00,6.666666666666667,1.9884,2.0018,1.99296,134.0,88.39999999999736,65.97014925372939,1,H1,1.99628,2.010466666666667,1.9749999999999999,1.9749999999999999,1.5,141.86666666666792,212.80000000000186,tp,212.80000000000186,1.4999999999999998,win,246.900000000001,98.50000000000136,0.7048872180451065
CADCHF,W,bearish,direct_touch,2010-01-18,2010-01-25,2010-02-02,2010-02-05 03:00:00,2010-02-11 14:00:00,6.458333333333333,0.99764,1.0051,1.0024,74.6,27.000000000001467,36.19302949061859,2,D,1.00469,1.0143633333333335,0.99018,1.0143633333333335,1.5,96.73333333333422,145.10000000000133,sl,-96.73333333333422,-1.0,loss,106.30000000000028,102.0999999999983,1.0337698139214242
GBPCAD,W,bullish,direct_touch,2010-01-11,2010-01-18,2010-02-11,2010-02-11 08:00:00,2010-02-16 12:00:00,5.166666666666667,1.65224,1.64023,1.64917,120.1,89.39999999999948,74.43796835969981,6,H4,1.65006,1.639029,1.66425,1.639029,1.2863747620342587,110.31000000000013,141.89999999999924,sl,-110.31000000000013,-1.0,loss,55.899999999999835,123.10000000000042,0.9065361254645987
EURNZD,W,bullish,direct_touch,2010-02-01,2010-02-08,2010-02-10,2010-02-11 14:00:00,2010-02-18 16:00:00,7.083333333333333,1.97933,1.95674,1.96458,225.89999999999998,78.40000000000069,34.70562195661828,5,D,1.95948,1.9311866666666668,2.00192,1.9311866666666668,1.5,282.9333333333328,424.4000000000003,sl,-282.9333333333328,-1.0,loss,73.49999999999967,285.6000000000014,0.35344015080113167
NZDCHF,W,bearish,direct_touch,2010-02-01,2010-02-08,2010-02-11,2010-02-11 16:00:00,2010-04-09 11:00:00,56.791666666666664,0.74272,0.75298,0.74936,102.6,36.19999999999956,35.28265107212433,6,D,0.75178,0.76466,0.73246,0.76466,1.5,128.8,193.20000000000002,sl,-128.8,-1.0,loss,155.39999999999998,131.70000000000013,0.7763975155279502
AUDNZD,W,bearish,direct_touch,2010-01-25,2010-02-01,2010-02-11,2010-02-11 21:00:00,2010-02-19 13:00:00,7.666666666666667,1.26896,1.27646,1.27232,75.0,41.400000000000325,55.200000000000436,2,H4,1.27639,1.2863433333333332,1.26146,1.2863433333333332,1.5,99.53333333333258,149.29999999999887,sl,-99.53333333333258,-1.0,loss,79.499999999999,107.70000000000168,1.0046885465505768
EURGBP,W,bullish,direct_touch,2010-02-01,2010-02-08,2010-02-12,2010-02-12 08:00:00,2010-02-19 09:00:00,7.041666666666667,0.86928,0.86032,0.86833,89.6,80.10000000000073,89.39732142857225,6,H4,0.86662,0.8588733333333333,0.87824,0.87824,1.5,77.4666666666668,116.20000000000074,tp,116.20000000000074,1.500000000000007,win,126.80000000000024,7.999999999999119,1.2908777969018912
GBPCHF,W,bullish,direct_touch,2010-02-08,2010-02-15,2010-02-19,2010-02-21 22:00:00,2010-02-26 09:00:00,4.458333333333333,1.67572,1.65931,1.67521,164.10000000000002,159.00000000000026,96.89213893967109,3,D,1.6625,1.6427466666666668,1.6921300000000001,1.6427466666666668,1.5,197.53333333333288,296.30000000000047,sl,-197.53333333333288,-1.0,loss,112.20000000000007,224.20000000000104,0.5062436719541018
EURGBP,W,bearish,direct_touch,2010-02-08,2010-02-15,2010-02-19,2010-02-23 09:00:00,2010-02-26 10:00:00,3.0416666666666665,0.87606,0.88416,0.87696,81.0,71.99999999999984,88.8888888888887,2,H4,0.88274,0.8925933333333333,0.86796,0.8925933333333333,1.5,98.5333333333338,147.80000000000015,sl,-98.5333333333338,-1.0,loss,76.29999999999914,107.40000000000083,1.0148849797022956
USDJPY,W,bullish,direct_touch,2010-02-08,2010-02-15,2010-02-25,2010-02-25 13:00:00,2010-03-04 06:00:00,6.708333333333333,89.5055,88.5545,89.137,9510.0,5824.99999999996,61.251314405888124,1,D,89.166,88.30566666666667,90.45649999999999,88.30566666666667,1.5,86.03333333333296,129.04999999999944,sl,-86.03333333333296,-1.0,loss,34.00000000000034,102.59999999999962,0.01162340178225499
NZDJPY,W,bullish,direct_touch,2010-02-08,2010-02-15,2010-02-25,2010-02-25 16:00:00,2010-03-05 14:00:00,7.916666666666667,61.605,60.4845,60.789,11205.0,3045.0000000000446,27.175368139223956,4,D,60.928,59.72966666666667,62.7255,62.7255,1.5,119.83333333333306,179.74999999999994,tp,179.74999999999994,1.5000000000000029,win,182.00000000000003,31.19999999999976,0.008344923504867891
GBPCHF,W,bullish,direct_touch,2010-01-11,2010-01-18,2010-02-26,2010-02-26 14:00:00,2010-03-01 09:00:00,2.7916666666666665,1.64277,1.63153,1.63726,112.4,57.300000000000125,50.97864768683286,6,H4,1.63578,1.6236266666666668,1.65401,1.6236266666666668,1.5,121.53333333333238,182.29999999999967,sl,-121.53333333333238,-1.0,loss,41.59999999999941,122.10000000000053,0.8228195282501437
EURGBP,W,bearish,direct_touch,2010-01-11,2010-01-18,2010-03-01,2010-03-01 10:00:00,2010-03-01 11:00:00,0.041666666666666664,0.89788,0.90284,0.90264,49.6,1.9999999999997797,4.032258064515685,2,wick_diff,0.90264,0.9091199999999999,0.89292,0.9091199999999999,1.5,64.7999999999993,97.1999999999995,sl,-64.7999999999993,-1.0,loss,18.200000000000436,123.60000000000036,1.5432098765432265
EURAUD,W,bullish,direct_touch,2010-02-22,2010-03-01,2010-03-01,2010-03-01 15:00:00,2010-03-05 14:00:00,3.9583333333333335,1.51318,1.5044,1.5058,87.8,14.000000000000679,15.945330296128335,2,wick_diff,1.5058,1.4950266666666667,1.52196,1.4950266666666667,1.5,107.73333333333301,161.5999999999995,sl,-107.73333333333301,-1.0,loss,145.10000000000022,109.6000000000008,0.928217821782181
EURNZD,W,bullish,direct_touch,2010-02-22,2010-03-01,2010-03-01,2010-03-01 15:00:00,2010-03-03 09:00:00,1.75,1.94565,1.92619,1.93454,194.60000000000002,83.49999999999858,42.90853031860152,5,D,1.93563,1.9159766666666664,1.9651100000000001,1.9651100000000001,1.5,196.5333333333352,294.8000000000017,tp,294.8000000000017,1.4999999999999944,win,322.99999999999994,59.59999999999965,0.5088195386702801
AUDCHF,W,bearish,direct_touch,2010-02-22,2010-03-01,2010-03-01,2010-03-01 15:00:00,2010-03-09 15:00:00,8.0,0.96832,0.97484,0.97311,65.2,17.300000000000093,26.533742331288483,2,H4,0.97402,0.9821666666666666,0.9618,0.9821666666666666,1.5,81.46666666666636,122.20000000000007,sl,-81.46666666666636,-1.0,loss,117.19999999999952,92.60000000000045,1.227495908346977
NZDCHF,W,bearish,direct_touch,2010-02-22,2010-03-01,2010-03-01,2010-03-01 15:00:00,2010-03-03 08:00:00,1.7083333333333333,0.75312,0.76138,0.75784,82.6,35.39999999999988,42.857142857142705,4,D,0.75657,0.7643766666666666,0.74486,0.74486,1.5,78.06666666666628,117.09999999999998,tp,117.09999999999998,1.500000000000007,win,117.59999999999992,16.1,1.2809564474807922
AUDNZD,W,bearish,direct_touch,2010-02-22,2010-03-01,2010-03-01,2010-03-02 03:00:00,2010-03-03 07:00:00,1.1666666666666667,1.2852,1.29314,1.28789,79.39999999999999,52.49999999999977,66.12090680100728,5,3D,1.2916,1.3011600000000003,1.2772599999999998,1.3011600000000003,1.5,95.60000000000234,143.40000000000242,sl,-95.60000000000234,-1.0,loss,64.80000000000041,104.59999999999913,1.0460251046024849
NZDCAD,W,bullish,direct_touch,2010-02-22,2010-03-01,2010-03-02,2010-03-02 07:00:00,2010-03-02 15:00:00,0.3333333333333333,0.72787,0.7246,0.72645,32.699999999999996,18.500000000000185,56.57492354740117,4,H4,0.72468,0.71868,0.73114,0.71868,1.0766666666666693,60.00000000000005,64.60000000000021,sl,-60.00000000000005,-1.0,loss,8.700000000000374,68.30000000000003,1.6666666666666654
GBPJPY,W,bullish,direct_touch,2010-03-01,2010-03-08,2010-03-09,2010-03-09 09:00:00,2010-03-12 13:00:00,3.1666666666666665,134.678,132.0315,134.665,26465.0,26334.999999999978,99.50878518798405,8,H4,134.144,131.76685,137.3245,137.3245,1.337946700881305,237.71500000000003,318.0499999999995,tp,318.0499999999995,1.337946700881305,win,367.40000000000066,21.999999999999886,0.0042067181288517755
