pair,htf_timeframe,direction,entry_type,pivot_time,valid_time,gap_touch_time,entry_time,exit_time,duration_days,pivot_price,extreme_price,near_price,gap_pips,wick_diff_pips,wick_diff_pct,total_refinements,priority_refinement_tf,entry_price,sl_price,tp_price,exit_price,final_rr,sl_distance_pips,tp_distance_pips,exit_type,pnl_pips,pnl_r,win_loss,mfe_pips,mae_pips,lots,entry_spread_pips,exit_spread_pips,commission_usd
NZDCHF,M,bullish,direct_touch,2010-04-01,2010-05-03,2010-06-29 18:00:00,2010-06-30 20:00:00,2010-07-14 08:00:00,13.5,0.74895,0.73624,0.73874,127.10000000000001,24.999999999999467,19.6695515342246,6,D,0.7383,0.7227266666666666,0.76166,0.76166,1.5,155.73333333333326,233.60000000000045,tp,230.8122056506756,1.47888830683225,win,238.40000000000083,120.19999999999919,0.6421232876712332,1.9704003433580628,0.8173940059661763,3.210616438356166
GBPCHF,M,bullish,direct_touch,2010-04-01,2010-05-03,2010-07-01 01:00:00,2010-07-01 10:00:00,2010-07-01 15:00:00,0.20833333333333334,1.6003,1.57937,1.59496,209.29999999999998,155.89999999999992,74.48638318203533,6,D,1.59496,1.577277,1.62123,1.62123,1.4856076457614757,176.82999999999893,262.70000000000016,tp,259.46246698440586,1.4644713396166231,win,350.8,0.1999999999990898,0.5655149013176531,1.893848086890521,1.3436849287028012,2.827574506588266
NZDCAD,M,bearish,direct_touch,2010-05-03,2010-06-01,2010-06-23 13:00:00,2010-07-14 15:00:00,2010-09-28 15:00:00,76.0,0.74024,0.75808,0.74212,178.4,159.59999999999974,89.4618834080716,3,H4,0.74629,0.7622166666666667,0.7224,0.7622166666666667,1.5,159.26666666666642,238.89999999999966,sl,-161.80297708163758,-1.019064318218739,loss,170.50000000000009,162.90000000000026,0.6278777731268324,0.7698546464676945,1.7664557685038689,3.139388865634162
CADJPY,M,bullish,direct_touch,2010-07-01,2010-08-02,2010-08-06 12:00:00,2010-08-11 11:00:00,2010-08-24 07:00:00,12.833333333333334,83.1235,81.6145,82.994,150.89999999999998,137.9499999999993,91.41815772034415,5,D,81.766,79.855,84.63250000000001,79.855,1.5,191.10000000000014,286.6500000000002,sl,-194.46250876544724,-1.0176217099186138,loss,175.79999999999956,196.9999999999999,0.005232862375719515,0.9253272966496489,2.437181468797554,0.026164311878597576
GBPNZD,M,bearish,direct_touch,2010-07-01,2010-08-02,2010-08-05 02:00:00,2010-08-13 18:00:00,2010-09-02 09:00:00,19.625,2.18264,2.21578,2.20302,331.40000000000003,127.60000000000105,38.50331925165994,4,H4,2.20969,2.249816666666667,2.1495,2.1495,1.5,401.2666666666664,601.8999999999996,tp,599.4709967052047,1.4927006065090676,win,632.2000000000028,160.59999999999962,0.24921083236418026,1.3150565027148304,1.1139467920789201,1.2460541618209013
EURCHF,M,bullish,direct_touch,2010-07-01,2010-08-02,2010-08-20 09:00:00,2010-08-23 06:00:00,2010-08-25 05:00:00,1.9583333333333333,1.31841,1.30738,1.31665,110.3,92.70000000000111,84.04351767905813,2,H1,1.31109,1.2988566666666668,1.3294400000000002,1.2988566666666668,1.5,122.33333333333317,183.50000000000088,sl,-125.39635756974698,-1.029125538717279,loss,81.09999999999839,123.69999999999992,0.8174386920980938,0.8950033008007121,2.168020935614484,4.087193460490469
GBPJPY,M,bullish,direct_touch,2010-07-01,2010-08-02,2010-08-20 10:00:00,2010-08-24 07:00:00,2010-09-07 12:00:00,14.208333333333334,132.161,130.4245,130.8445,173.64999999999998,42.00000000000159,24.186582205586866,1,H1,130.452,128.155,133.8975,128.155,1.5,229.6999999999997,344.550000000001,sl,-232.6809093157209,-1.0129991698551206,loss,317.7999999999997,243.39999999999975,0.004353504571179806,1.1475140108836033,1.833395304836489,0.02176752285589903
NZDCHF,M,bullish,direct_touch,2010-07-01,2010-08-02,2010-08-16 01:00:00,2010-08-24 21:00:00,2010-08-31 19:00:00,6.916666666666667,0.7377,0.72628,0.7376,114.19999999999999,113.19999999999996,99.12434325744306,7,3D,0.72411,0.7074366666666667,0.74912,0.7074366666666667,1.5,166.73333333333318,250.09999999999977,sl,-169.64915451480488,-1.020486732395872,loss,115.89999999999989,174.30000000000055,0.599760095961616,1.7874518006728004,1.1283693807982667,2.9988004798080796
GBPCHF,M,bullish,direct_touch,2010-07-01,2010-08-02,2010-08-19 14:00:00,2010-08-31 01:00:00,2010-09-07 14:00:00,7.541666666666667,1.61014,1.58333,1.60974,268.09999999999997,264.1000000000004,98.50801939574801,8,3D,1.5816,1.5447,1.63695,1.5447,1.5,368.9999999999993,553.5000000000001,sl,-372.75203662181286,-1.0115231344764595,loss,20.400000000000418,388.9999999999993,0.27100271002710075,1.9709034051608676,1.7811332166523113,1.3550135501355038
EURGBP,M,bearish,direct_touch,2010-08-02,2010-09-01,2010-09-01 08:00:00,2010-09-02 08:00:00,2010-09-22 12:00:00,20.166666666666668,0.83145,0.85317,0.83628,217.2,168.8999999999996,77.76243093922633,15,3D,0.83379,0.8553419999999999,0.8097300000000001,0.8553419999999999,1.1163697104677095,215.51999999999904,240.59999999999968,sl,-219.08953882671,-1.0188824184609826,loss,135.50000000000063,226.89999999999986,0.4639940608760228,2.146210351223094,1.423328475488854,2.319970304380114
