pair,htf_timeframe,direction,entry_type,pivot_time,valid_time,gap_touch_time,entry_time,exit_time,duration_days,pivot_price,extreme_price,near_price,gap_pips,wick_diff_pips,wick_diff_pct,total_refinements,priority_refinement_tf,entry_price,sl_price,tp_price,exit_price,final_rr,sl_distance_pips,tp_distance_pips,exit_type,pnl_pips,pnl_r,win_loss,mfe_pips,mae_pips,lots
NZDUSD,W,bearish,direct_touch,2010-02-22 22:00:00,2010-03-01 22:00:00,2010-03-08 07:00:00,2010-03-10 10:00:00,2010-03-17 11:00:00,7.041666666666667,0.7014,0.70795,0.7058,65.5,21.49999999999985,32.8244274809158,4,H4,0.7068,0.7147666666666667,0.69485,0.7147666666666667,1.5,79.66666666666677,119.50000000000016,sl,-79.66666666666677,-1.0,loss,104.99999999999953,83.49999999999969,1.255230125523011
CADJPY,W,bearish,direct_touch,2010-02-22 22:00:00,2010-03-01 22:00:00,2010-03-05 13:00:00,2010-03-10 14:00:00,2010-03-24 12:00:00,13.916666666666666,87.355,88.445,87.645,109.0,79.99999999999972,73.39449541284378,6,3D,88.315,89.68166666666666,86.265,89.68166666666666,1.5,136.666666666666,204.99999999999972,sl,-136.666666666666,-1.0,loss,76.50000000000006,152.50000000000057,0.007317073170731743
NZDJPY,W,bearish,direct_touch,2010-02-22 22:00:00,2010-03-01 22:00:00,2010-03-10 10:00:00,2010-03-10 14:00:00,2010-03-11 00:00:00,0.4166666666666667,63.89,64.48,64.195,58.99999999999999,28.50000000000108,48.305084745764546,3,H1,64.14,64.74,63.3,63.3,1.400000000000019,59.99999999999943,84.00000000000034,tp,84.00000000000034,1.400000000000019,win,100.9999999999998,17.00000000000017,0.016666666666666823
USDJPY,W,bearish,direct_touch,2010-03-15 21:00:00,2010-03-22 21:00:00,2010-03-24 02:00:00,2010-03-24 08:00:00,2010-03-24 11:00:00,0.125,90.515,91.085,90.8,56.99999999999999,28.49999999999966,49.9999999999994,1,3D,90.77,91.36999999999999,89.94500000000001,91.36999999999999,1.374999999999994,59.99999999999943,82.49999999999886,sl,-59.99999999999943,-1.0,loss,15.500000000000114,63.000000000000966,0.016666666666666823
CADJPY,W,bearish,direct_touch,2010-03-15 21:00:00,2010-03-22 21:00:00,2010-03-23 00:00:00,2010-03-24 12:00:00,2010-03-25 13:00:00,1.0416666666666667,88.795,89.665,89.59,87.0,7.500000000000284,8.62068965517274,1,H4,89.63,90.76666666666667,87.925,90.76666666666667,1.5,113.66666666666703,170.49999999999983,sl,-113.66666666666703,-1.0,loss,33.99999999999892,123.0000000000004,0.008797653958944255
USDJPY,W,bearish,direct_touch,2010-02-22 22:00:00,2010-03-01 22:00:00,2010-03-24 09:00:00,2010-03-24 16:00:00,2010-03-31 03:00:00,6.458333333333333,91.135,92.145,91.29,101.0,85.49999999999898,84.65346534653364,7,3D,92.085,93.39166666666665,90.125,93.39166666666665,1.5,130.66666666666578,195.99999999999937,sl,-130.66666666666578,-1.0,loss,32.49999999999886,141.50000000000063,0.007653061224489848
CADJPY,W,bearish,direct_touch,2010-01-11 22:00:00,2010-01-18 22:00:00,2010-03-12 13:00:00,2010-03-25 13:00:00,2010-04-01 07:00:00,6.75,89.1,90.605,89.325,150.5,128.0000000000001,85.04983388704326,7,3D,90.54,92.50333333333334,87.595,92.50333333333334,1.5,196.33333333333383,294.50000000000074,sl,-196.33333333333383,-1.0,loss,60.99999999999994,208.49999999999937,0.005093378607809834
GBPCAD,W,bullish,direct_touch,2010-03-15 21:00:00,2010-03-22 21:00:00,2010-03-23 05:00:00,2010-03-25 14:00:00,2010-04-11 21:00:00,17.291666666666668,1.5344,1.51705,1.5271,173.5,100.49999999999892,57.92507204610888,1,H1,1.51815,1.4957500000000001,1.55175,1.55175,1.5,223.99999999999974,335.9999999999985,tp,335.9999999999985,1.4999999999999951,win,349.9999999999992,66.50000000000044,0.44642857142857195
EURJPY,W,bearish,direct_touch,2010-03-15 21:00:00,2010-03-22 21:00:00,2010-03-25 16:00:00,2010-03-29 07:00:00,2010-04-01 14:00:00,3.2916666666666665,123.805,125.2,125.06,139.5,14.000000000000057,10.035842293906851,6,3D,125.06,126.82666666666667,122.41000000000001,126.82666666666667,1.5,176.66666666666657,264.99999999999915,sl,-176.66666666666657,-1.0,loss,88.50000000000051,217.00000000000017,0.005660377358490569
GBPCAD,W,bearish,direct_touch,2010-03-22 21:00:00,2010-03-29 21:00:00,2010-03-30 12:00:00,2010-03-30 14:00:00,2010-04-06 07:00:00,6.708333333333333,1.5385,1.5554,1.5386,168.99999999999997,167.99999999999926,99.40828402366822,5,H4,1.53935,1.5570899999999999,1.5216,1.5216,1.0005636978579517,177.39999999999867,177.49999999999932,tp,177.49999999999932,1.0005636978579517,win,208.50000000000034,60.00000000000005,0.5636978579481441
