pair,htf_timeframe,direction,entry_type,pivot_time,valid_time,gap_touch_time,entry_time,exit_time,duration_days,pivot_price,extreme_price,near_price,gap_pips,wick_diff_pips,wick_diff_pct,total_refinements,priority_refinement_tf,entry_price,sl_price,tp_price,exit_price,final_rr,sl_distance_pips,tp_distance_pips,exit_type,pnl_pips,pnl_r,win_loss,mfe_pips,mae_pips,lots
USDCHF,3D,bullish,direct_touch,2006-05-19,2006-05-24,2006-05-24 08:00:00,2006-05-24 12:00:00,2006-05-24 14:00:00,0.0833333333333333,1.20615,1.20055,1.20175,56.0,12.0000000000009,21.428571428573033,2,D,1.20275,1.19675,1.21175,1.21175,1.5,60.00000000000005,90.00000000000118,tp,90.00000000000118,1.5000000000000184,win,157.00000000000043,0.99999999999989,1.6666666666666654
GBPNZD,3D,bearish,direct_touch,2006-06-06,2006-06-09,2006-06-13 08:00:00,2006-06-15 14:00:00,2006-06-22 16:00:00,7.083333333333333,2.966,2.99595,2.98245,299.5,135.00000000000068,45.07512520868136,3,H4,2.98005,3.009383333333333,2.9360500000000003,3.009383333333333,1.5,293.3333333333321,439.9999999999959,sl,-293.3333333333321,-1.0,loss,223.99999999999753,304.9999999999997,0.3409090909090923
EURNZD,3D,bearish,direct_touch,2006-06-06,2006-06-09,2006-06-16 14:00:00,2006-06-18 21:00:00,2006-06-20 05:00:00,1.3333333333333333,2.0446,2.05765,2.0529,130.5,47.50000000000032,36.39846743295043,3,D,2.0527,2.0668,2.03155,2.03155,1.5,141.0,211.5,tp,211.5,1.5,win,222.50000000000105,13.999999999998458,0.7092198581560283
AUDNZD,3D,bearish,direct_touch,2006-06-19,2006-06-22,2006-06-22 00:00:00,2006-06-22 00:00:00,2006-06-22 16:00:00,0.6666666666666666,1.19485,1.1988,1.19875,39.5,0.5000000000010552,1.2658227848127976,1,D,1.19875,1.20475,1.1909,1.20475,1.3083333333333176,60.00000000000005,78.49999999999912,sl,-60.00000000000005,-1.0,loss,4.500000000000615,71.4999999999999,1.6666666666666654
NZDJPY,3D,bullish,direct_touch,2006-06-06,2006-06-09,2006-06-22 00:00:00,2006-06-23 09:00:00,2006-06-28 03:00:00,4.75,70.855,70.285,70.59,56.99999999999999,30.50000000000068,53.50877192982576,8,D,70.365,69.65833333333333,71.425,69.65833333333333,1.5,70.66666666666634,106.00000000000024,sl,-70.66666666666634,-1.0,loss,57.00000000000074,70.99999999999937,0.0141509433962264
GBPNZD,3D,bearish,direct_touch,2006-05-19,2006-05-24,2006-06-28 03:00:00,2006-06-28 06:00:00,2006-06-29 19:00:00,1.5416666666666667,3.03985,3.05445,3.04365,146.0,108.00000000000142,73.972602739727,1,H1,3.05215,3.0700833333333337,3.02525,3.02525,1.5,179.3333333333358,269.0000000000037,tp,269.0000000000037,1.5,win,413.00000000000114,158.999999999998,0.5576208178438585
GBPNZD,3D,bearish,direct_touch,2006-06-30,2006-07-05,2006-07-05 00:00:00,2006-07-05 15:00:00,2006-07-12 00:00:00,6.375,3.02755,3.06805,3.04695,405.0,211.00000000000117,52.09876543209906,6,D,3.03925,3.07405,2.98705,2.98705,1.5,348.00000000000165,522.0000000000002,tp,522.0000000000002,1.4999999999999936,win,529.9999999999993,78.99999999999795,0.2873563218390791
AUDNZD,3D,bearish,direct_touch,2006-06-30,2006-07-05,2006-07-05 00:00:00,2006-07-06 08:00:00,2006-07-12 22:00:00,6.583333333333333,1.2231,1.2291,1.2287,60.0,4.00000000000178,6.6666666666696335,0,wick_diff,1.2287,1.236433333333333,1.2171,1.2171,1.5,77.33333333333147,115.99999999999832,tp,115.99999999999832,1.5000000000000144,win,133.49999999999972,76.00000000000051,1.2931034482758934
AUDCAD,3D,bearish,direct_touch,2006-02-03,2006-02-08,2006-07-24 12:00:00,2006-07-26 01:00:00,2006-08-03 07:00:00,8.25,0.86222,0.86708,0.86326,48.599999999999994,38.19999999999934,78.60082304526614,4,H4,0.86378,0.86978,0.85736,0.85736,1.0699999999999958,60.00000000000005,64.1999999999998,tp,64.1999999999998,1.0699999999999958,win,92.99999999999974,48.799999999999955,1.6666666666666654
EURUSD,3D,bearish,direct_touch,2006-07-21,2006-07-26,2006-07-26 15:00:00,2006-07-26 16:00:00,2006-07-27 04:00:00,0.5,1.26276,1.27145,1.26532,86.89999999999999,61.299999999999685,70.54085155350943,3,H4,1.26534,1.2728533333333332,1.25407,1.2728533333333332,1.5,75.1333333333326,112.69999999999892,sl,-75.1333333333326,-1.0,loss,26.399999999999757,75.60000000000011,1.3309671694764993
EURNZD,3D,bearish,direct_touch,2006-07-21,2006-07-26,2006-07-26 18:00:00,2006-07-26 21:00:00,2006-07-27 03:00:00,0.25,2.0284,2.03835,2.03705,99.5,13.000000000000789,13.065326633166622,3,D,2.03785,2.0507833333333334,2.01845,2.0507833333333334,1.5,129.3333333333324,194.0000000000008,sl,-129.3333333333324,-1.0,loss,49.5000000000001,152.9999999999987,0.7731958762886653
GBPNZD,3D,bearish,direct_touch,2006-07-21,2006-07-26,2006-07-26 20:00:00,2006-07-27 03:00:00,2006-07-28 08:00:00,1.2083333333333333,2.96965,2.98985,2.98285,201.99999999999997,70.00000000000117,34.653465346535235,2,H4,2.98955,3.016283333333333,2.94945,3.016283333333333,1.5,267.33333333333053,400.999999999998,sl,-267.33333333333053,-1.0,loss,19.000000000000128,314.9999999999986,0.3740648379052408
AUDNZD,3D,bearish,direct_touch,2006-07-10,2006-07-13,2006-07-27 04:00:00,2006-07-28 08:00:00,2006-07-31 15:00:00,3.2916666666666665,1.23005,1.2363,1.23125,62.5,50.499999999999986,80.79999999999998,3,D,1.2357,1.2436333333333334,1.2238,1.2436333333333334,1.5,79.33333333333347,119.0000000000002,sl,-79.33333333333347,-1.0,loss,21.999999999999797,85.50000000000057,1.26050420168067
