trade_id,pair,timeframe,direction,pivot_generated_time,entry_time,entry_price,tp_price,sl_price,gap_high,gap_low,exit_time,exit_price,exit_reason,pnl_pips,pnl_r,pnl_percent,status
1,AUDCAD,3D,bullish,2004-06-03 00:00:00+00:00,2004-06-06 00:00:00+00:00,0.93994,0.9437799999999998,0.9380200000000001,0.93994,0.93866,2004-06-09 00:00:00+00:00,0.9437799999999998,tp,38.399999999998435,2.0,2.0,closed
2,AUDCAD,3D,bearish,2004-06-06 00:00:00+00:00,2004-06-09 00:00:00+00:00,0.94166,0.9090800000000001,0.9579500000000001,0.95252,0.94166,2004-07-09 00:00:00+00:00,0.9579500000000001,sl,-162.90000000000026,-1.0,-1.0,closed
1040,AUDCAD,W,bearish,2004-06-11 21:00:00+00:00,2004-06-18 21:00:00+00:00,0.94358,0.9100999999999998,0.9603200000000001,0.95474,0.94358,2004-08-27 21:00:00+00:00,0.9100999999999998,tp,334.8000000000018,2.0,2.0,closed
4,AUDCAD,3D,bullish,2004-06-18 00:00:00+00:00,2004-06-21 00:00:00+00:00,0.93976,0.9534400000000001,0.93292,0.93976,0.9352,2004-06-27 00:00:00+00:00,0.93292,sl,-68.40000000000069,-1.0,-1.0,closed
1041,AUDCAD,W,bullish,2004-06-18 21:00:00+00:00,2004-06-25 21:00:00+00:00,0.93976,0.9575200000000001,0.9308799999999999,0.93976,0.93384,2004-07-09 21:00:00+00:00,0.9575200000000001,tp,177.6000000000011,1.9999999999999876,1.9999999999999876,closed
5,AUDCAD,3D,bearish,2004-06-24 00:00:00+00:00,2004-06-27 00:00:00+00:00,0.94114,0.9273999999999999,0.94801,0.94572,0.94114,2004-07-06 00:00:00+00:00,0.94801,sl,-68.70000000000043,-1.0,-1.0,closed
3,AUDCAD,3D,bearish,2004-06-15 00:00:00+00:00,2004-07-03 00:00:00+00:00,0.94679,0.92294,0.958715,0.95474,0.94679,2004-07-15 00:00:00+00:00,0.958715,sl,-119.24999999999963,-1.0,-1.0,closed
7,AUDCAD,3D,bearish,2004-07-06 00:00:00+00:00,2004-07-09 00:00:00+00:00,0.9471,0.9238800000000001,0.95871,0.95484,0.9471,2004-07-15 00:00:00+00:00,0.95871,sl,-116.09999999999899,-1.0,-1.0,closed
8,AUDCAD,3D,bullish,2004-07-09 00:00:00+00:00,2004-07-18 00:00:00+00:00,0.95302,0.96538,0.9468399999999999,0.95302,0.9489,2004-07-21 00:00:00+00:00,0.9468399999999999,sl,-61.80000000000074,-1.0,-1.0,closed
9,AUDCAD,3D,bearish,2004-07-15 00:00:00+00:00,2004-07-18 00:00:00+00:00,0.95644,0.9451599999999997,0.96208,0.9602,0.95644,2004-07-21 00:00:00+00:00,0.9451599999999997,tp,112.8000000000029,2.0000000000000195,2.0000000000000195,closed
6,AUDCAD,3D,bullish,2004-06-30 00:00:00+00:00,2004-07-21 00:00:00+00:00,0.93945,0.9739800000000001,0.922185,0.93945,0.92794,2004-08-23 00:00:00+00:00,0.922185,sl,-172.64999999999975,-1.0,-1.0,closed
10,AUDCAD,3D,bullish,2004-07-27 00:00:00+00:00,2004-08-02 00:00:00+00:00,0.93136,0.9458799999999998,0.9241,0.93136,0.92652,2004-08-08 00:00:00+00:00,0.9458799999999998,tp,145.19999999999865,2.0,2.0,closed
11,AUDCAD,3D,bearish,2004-08-02 00:00:00+00:00,2004-08-05 00:00:00+00:00,0.9317,0.9151999999999998,0.9399500000000001,0.9372,0.9317,2004-08-08 00:00:00+00:00,0.9399500000000001,sl,-82.50000000000091,-1.0,-1.0,closed
