pair,htf_timeframe,direction,entry_type,pivot_time,valid_time,gap_touch_time,entry_time,exit_time,duration_days,pivot_price,extreme_price,near_price,gap_pips,wick_diff_pips,wick_diff_pct,total_refinements,priority_refinement_tf,entry_price,sl_price,tp_price,exit_price,final_rr,sl_distance_pips,tp_distance_pips,exit_type,pnl_pips,pnl_r,win_loss,mfe_pips,mae_pips,lots
NZDCHF,3D,bullish,direct_touch,2010-01-11,2010-01-14,2010-01-14 00:00:00,2010-01-14 00:00:00,2010-01-21 18:00:00,7.75,0.76073,0.7536,0.75848,71.3,48.799999999999955,68.44319775596065,2,H1,0.7529,0.7429266666666667,0.76786,0.7429266666666667,1.5,99.73333333333278,149.59999999999974,sl,-99.73333333333278,-1.0,loss,112.79999999999956,109.50000000000014,1.0026737967914494
EURCAD,3D,bullish,direct_touch,2010-01-11,2010-01-14,2010-01-14 19:00:00,2010-01-15 01:00:00,2010-01-15 13:00:00,0.5,1.48353,1.47366,1.48254,98.7,88.79999999999998,89.96960486322187,4,H4,1.48295,1.472673,1.4934,1.472673,1.0168337063345312,102.7700000000009,104.5000000000007,sl,-102.7700000000009,-1.0,loss,9.099999999999664,108.3999999999996,0.9730466089325592
CHFJPY,3D,bullish,direct_touch,2010-01-06,2010-01-11,2010-01-15 07:00:00,2010-01-15 08:00:00,2010-01-19 13:00:00,4.208333333333333,88.7325,88.4315,88.433,30.1,0.1500000000007162,0.4983388704342731,1,D,88.433,87.83300000000001,89.0335,87.83300000000001,1.0008333333333372,59.99999999999943,60.04999999999967,sl,-59.99999999999943,-1.0,loss,54.09999999999968,61.10000000000042,0.0166666666666668
AUDUSD,3D,bullish,direct_touch,2010-01-14,2010-01-19,2010-01-19 03:00:00,2010-01-19 12:00:00,2010-01-20 15:00:00,1.125,0.92414,0.91714,0.91749,70.0,3.5000000000007248,5.000000000001036,2,H4,0.91821,0.90959,0.93114,0.90959,1.5,86.1999999999996,129.29999999999995,sl,-86.1999999999996,-1.0,loss,72.10000000000049,90.29999999999984,1.1600928074245993
EURCHF,3D,bullish,direct_touch,2010-02-01,2010-02-04,2010-02-04 01:00:00,2010-02-04 19:00:00,2010-02-05 01:00:00,0.25,1.47026,1.46358,1.47026,66.8,66.79999999999797,99.99999999999696,2,H4,1.46472,1.4565733333333335,1.47694,1.4565733333333335,1.5,81.46666666666523,122.19999999999897,sl,-81.46666666666523,-1.0,loss,8.999999999999009,87.8000000000001,1.2274959083469938
EURCAD,3D,bullish,direct_touch,2010-01-19,2010-01-22,2010-02-02 03:00:00,2010-02-05 00:00:00,2010-02-10 19:00:00,5.791666666666667,1.47591,1.46723,1.47211,86.8,48.799999999999955,56.22119815668197,2,H4,1.46856,1.4578733333333334,1.48459,1.4578733333333334,1.5,106.86666666666731,160.29999999999987,sl,-106.86666666666731,-1.0,loss,85.69999999999966,124.60000000000136,0.9357454772301876
EURGBP,3D,bearish,direct_touch,2010-01-27,2010-02-01,2010-02-01 08:00:00,2010-02-08 07:00:00,2010-02-25 18:00:00,17.458333333333332,0.87166,0.87946,0.8732,77.99999999999999,62.60000000000043,80.25641025641082,8,D,0.8786,0.8884266666666668,0.86386,0.8884266666666668,1.5,98.2666666666676,147.40000000000086,sl,-98.2666666666676,-1.0,loss,127.80000000000013,102.7,1.01763907734056
GBPAUD,3D,bullish,direct_touch,2010-02-04,2010-02-09,2010-02-09 04:00:00,2010-02-09 09:00:00,2010-02-11 00:00:00,1.625,1.8001,1.78831,1.79148,117.9,31.69999999999895,26.887192536046605,4,D,1.78907,1.7738566666666666,1.81189,1.7738566666666666,1.5,152.133333333333,228.2000000000006,sl,-152.133333333333,-1.0,loss,93.10000000000151,252.2000000000002,0.65731814198072
AUDCHF,3D,bearish,direct_touch,2010-02-04,2010-02-09,2010-02-09 20:00:00,2010-02-11 00:00:00,2010-02-11 15:00:00,0.625,0.93545,0.94421,0.93818,87.6,60.2999999999998,68.83561643835593,2,D,0.94258,0.9531733333333332,0.92669,0.9531733333333332,1.5,105.93333333333344,158.89999999999958,sl,-105.93333333333344,-1.0,loss,75.9999999999994,110.79999999999978,0.9439899307740708
EURNZD,3D,bullish,direct_touch,2010-02-04,2010-02-09,2010-02-10 18:00:00,2010-02-11 14:00:00,2010-02-17 16:00:00,6.083333333333333,1.97747,1.95674,1.97705,207.3,203.1000000000005,97.97395079594816,5,D,1.95948,1.9336666666666669,1.9982,1.9336666666666669,1.5,258.1333333333324,387.1999999999986,sl,-258.1333333333324,-1.0,loss,73.49999999999967,274.8000000000017,0.3873966942148774
